brand,color,condition,body_type,wheel_config,transmission,mileage,carfax_link,dealer_address,cylinders,vehicle_age,list_price
american,Grey,Used,"SUV, Crossover",Front-wheel drive (FWD),Automatic,176000,Available,Toronto,4,3,12999.0
japanese,Black,Used,Sedan,Front-wheel drive (FWD),Manual,61000,Available,Toronto,4,5,9999.0
japanese,White,Used,Sedan,Front-wheel drive (FWD),Automatic,59807,Available,Toronto,4,5,11999.0
german,Red,Used,Sedan,Front-wheel drive (FWD),Automatic,80500,Available,Toronto,6,5,20999.0
german,Red,Used,Hatchback,All-wheel drive (AWD),Automatic,75000,Available,Toronto,6,5,24999.0
german,Silver,Used,Hatchback,All-wheel drive (AWD),Automatic,77699,Available,Toronto,6,5,16999.0
british,other,Used,"SUV, Crossover",4 x 4,Automatic,188718,Available,Toronto,6,10,19999.0
german,Silver,Used,Sedan,Front-wheel drive (FWD),Automatic,48085,Available,Toronto,6,5,16999.0
german,Black,Used,Hatchback,All-wheel drive (AWD),Automatic,93000,Available,Toronto,6,5,16999.0
korean,Silver,Used,Sedan,Front-wheel drive (FWD),Automatic,49000,Available,Toronto,4,5,14999.0
japanese,Blue,Used,Sedan,Front-wheel drive (FWD),Automatic,119000,Available,Toronto,4,6,10777.0
german,White,Used,Hatchback,All-wheel drive (AWD),Automatic,89370,Available,Toronto,6,5,16999.0
german,White,Used,Hatchback,All-wheel drive (AWD),Automatic,63961,Available,Toronto,6,5,16999.0
german,White,Used,Sedan,All-wheel drive (AWD),Automatic,55000,Available,Toronto,6,5,16999.0
japanese,White,Used,Sedan,Front-wheel drive (FWD),Automatic,78121,Available,Toronto,4,6,12999.0
japanese,Black,Used,"SUV, Crossover",Front-wheel drive (FWD),Automatic,95000,Available,Toronto,4,6,12999.0
japanese,Black,Used,Sedan,Front-wheel drive (FWD),Manual,83130,Available,Toronto,4,5,10500.0
japanese,Grey,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,4840,Available,Toronto,6,2,40995.0
korean,White,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,169000,Available,Toronto,6,9,10800.0
japanese,other,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,215107,Available,Toronto,6,11,6979.0
german,Blue,Used,Sedan,Front-wheel drive (FWD),Automatic,108000,Available,Toronto,4,5,14450.0
american,other,Used,Other,4 x 4,Automatic,72450,Available,Toronto,8,4,32988.0
korean,Blue,Used,Hatchback,Front-wheel drive (FWD),Manual,61402,Available,Toronto,4,7,11500.0
german,Grey,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,118020,Available,other,6,8,29977.0
japanese,Black,Used,Wagon,Unknown,Automatic,142000,Available,Toronto,6,6,16850.0
japanese,Black,Used,Sedan,Front-wheel drive (FWD),Automatic,111000,Available,Toronto,4,6,14850.0
american,Grey,Used,Other,Front-wheel drive (FWD),Automatic,99001,Available,Toronto,6,5,20988.0
german,other,Used,Coupe (2 door),Rear-wheel drive (RWD),Automatic,81738,Available,Toronto,6,4,49800.0
german,White,Used,Sedan,All-wheel drive (AWD),Automatic,67000,Available,Toronto,6,4,26880.0
german,Black,Used,Sedan,Front-wheel drive (FWD),Automatic,78268,Available,Toronto,4,5,17500.0
japanese,Silver,Used,Sedan,Front-wheel drive (FWD),Automatic,115000,Available,Toronto,4,7,9450.0
german,other,Used,Sedan,Front-wheel drive (FWD),Automatic,149683,None,Toronto,4,7,8888.0
german,White,Used,Sedan,Front-wheel drive (FWD),Automatic,77148,Available,Toronto,4,5,12990.0
german,Grey,Used,Sedan,Front-wheel drive (FWD),Automatic,59838,Available,Toronto,4,4,14990.0
german,Silver,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,121100,Available,Toronto,6,9,23800.0
german,White,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,40000,Available,Toronto,4,5,35880.0
british,Red,Used,Sedan,All-wheel drive (AWD),Automatic,54000,Available,Toronto,6,4,41888.0
german,Black,Used,Coupe (2 door),All-wheel drive (AWD),Automatic,175637,Available,Toronto,6,5,25800.0
german,White,Used,Sedan,All-wheel drive (AWD),Automatic,26000,Available,Toronto,6,4,34888.0
japanese,Blue,Used,Sedan,Front-wheel drive (FWD),Automatic,135000,None,Toronto,4,7,15950.0
japanese,Blue,Used,Pickup Truck,Unknown,Automatic,3658,Available,other,6,1,52900.0
german,Grey,Used,Sedan,Front-wheel drive (FWD),Automatic,75552,Available,Toronto,4,5,11250.0
german,Blue,Used,Sedan,All-wheel drive (AWD),Automatic,99997,Available,Toronto,4,6,21990.0
american,other,Used,Other,All-wheel drive (AWD),Automatic,64101,Available,Toronto,6,4,27495.0
american,White,Used,"SUV, Crossover",4 x 4,Automatic,196935,Available,Toronto,6,7,17188.0
korean,Black,Used,Sedan,Front-wheel drive (FWD),Automatic,78000,Available,Toronto,4,3,15450.0
japanese,Red,Used,Sedan,Rear-wheel drive (RWD),Automatic,53182,Available,other,4,6,21495.0
japanese,Grey,Used,"SUV, Crossover",Unknown,Automatic,148000,Available,Toronto,6,9,16950.0
german,Red,Used,Convertible,Rear-wheel drive (RWD),Manual,62100,Available,Toronto,6,21,25800.0
japanese,other,Used,"Minivan, Van",Unknown,Automatic,213000,None,Toronto,6,14,3400.0
american,Black,Used,"SUV, Crossover",4 x 4,Automatic,74107,Available,other_GTA,6,3,43995.0
american,Blue,Used,Pickup Truck,4 x 4,Automatic,78549,Available,other,6,4,34990.0
german,White,Used,Coupe (2 door),Rear-wheel drive (RWD),Automatic,118000,Available,Toronto,6,10,18800.0
german,Black,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,70000,Available,Toronto,6,5,25999.0
american,Red,Used,"SUV, Crossover",Unknown,Automatic,132002,Available,other,6,12,8495.0
japanese,other,Used,"SUV, Crossover",4 x 4,Automatic,305000,None,Toronto,4,14,4500.0
german,Black,Used,Sedan,All-wheel drive (AWD),Automatic,202300,None,Toronto,8,12,12800.0
korean,Red,Used,"SUV, Crossover",Unknown,Automatic,56117,Available,other_GTA,4,7,12821.0
japanese,Grey,Used,Sedan,Front-wheel drive (FWD),Automatic,60000,Available,Toronto,4,3,14999.0
american,Red,Used,Convertible,Rear-wheel drive (RWD),Automatic,121000,Available,Toronto,8,9,14900.0
american,White,Used,Pickup Truck,4 x 4,Automatic,246000,Available,Toronto,6,10,10950.0
