,brand,model,model_year,list_price,color,configuration,condition,body_type,wheel_config,transmission,fuel_type,mileage,carfax_link,dealer_address
631,BMW,3-Series,2022,"$55,079 ",Black,XDrive Sedan (5R79),New,Sedan,All-wheel drive (AWD),Automatic,Other,na,na,"11 Sunlight Park Road, Toronto, ON, M4M 1B5"
632,BMW,5-Series,2022,"$91,764 ",Grey,XDrive Sedan,New,Sedan,All-wheel drive (AWD),Automatic,Other,na,na,"11 Sunlight Park Road, Toronto, ON, M4M 1B5"
633,BMW,X3,2022,"$65,699 ",Blue,XDrive30i,New,"SUV, Crossover",All-wheel drive (AWD),Automatic,Other,na,na,"11 Sunlight Park Road, Toronto, ON, M4M 1B5"
634,BMW,3-Series,2022,"$56,979 ",Black,XDrive Sedan (5R79),New,Sedan,All-wheel drive (AWD),Automatic,Other,na,na,"11 Sunlight Park Road, Toronto, ON, M4M 1B5"
635,BMW,3-Series,2022,"$80,029 ",Grey,XDrive Sedan,New,Sedan,All-wheel drive (AWD),Automatic,Other,na,na,"11 Sunlight Park Road, Toronto, ON, M4M 1B5"
636,na,na,na,na,na,na,na,na,na,na,na,na,na,na
637,na,na,na,na,na,na,na,na,na,na,na,na,na,na
638,na,na,na,na,na,na,na,na,na,na,na,na,na,na
639,Audi,A4,2017,"$24,880 ",Green,LEATHER | ROOF | CAR PLAY | QUATTRO | 4 NEW SNOW TIRES* |,Used,Sedan,All-wheel drive (AWD),Automatic,Other,"93,000",https://www.carproof.com/order?ref=kijiji&vin=WAUANAF45HN034146,"1882 Lawrence Avenue East, Scarborough, ON, M1R 2Y5"
640,Ram,1500,2022,"$66,999 ",White,Big Horn,Used,Pickup Truck,4 x 4,Automatic,Gasoline,"7,193",https://www.carproof.com/order?ref=kijiji&vin=1C6SRFFT3NN116894,"935 Woodlawn Road West, Guelph, ON, N1K 1B7"
641,Chevrolet,Cruze,2012,"$9,750 ",Red,LTZ RS SEDAN BLUETOOTH USB PWR HEAT LEATHER SPORT...MINT,Used,Sedan,Front-wheel drive (FWD),Automatic,Gasoline,"160,000",https://www.carproof.com/order?ref=kijiji&vin=1G1PH5SC2C7302602,"1830 Lawrence Avenue East, Toronto, ON, M1R 2Y2"
642,Honda,Pilot,2021,"$53,995 ",Black,Touring 7P,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,"12,795",na,"3400 Dufferin Street, Toronto, ON, M6A 2V1"
643,Mercedes-Benz,C-Class,2018,"$33,800 ",White,"C300 4MATIC, AMG STYLING PKG, NAV, PANO, NAVI",Used,Sedan,All-wheel drive (AWD),Automatic,Other,"90,696",https://www.carproof.com/order?ref=kijiji&vin=55SWF4KB7JU273453,"60 Martin Ross Avenue, Toronto, ON, M3J 2L4"
644,Acura,TL,2005,"$4,000 ",Off-White,na,Used,Sedan,Front-wheel drive (FWD),Automatic,Gasoline,"189,120",na,"North York, ON M9M"
645,BMW,3-Series,2022,"$56,729 ",Black,XDrive Sedan (5R79),New,Sedan,All-wheel drive (AWD),Automatic,Other,na,na,"11 Sunlight Park Road, Toronto, ON, M4M 1B5"
646,BMW,X5,2022,"$100,129 ",White,XDrive40i,New,"SUV, Crossover",All-wheel drive (AWD),Automatic,Other,na,na,"11 Sunlight Park Road, Toronto, ON, M4M 1B5"
647,BMW,X1,2022,"$52,429 ",Black,XDrive28i,New,"SUV, Crossover",All-wheel drive (AWD),Automatic,Other,na,na,"11 Sunlight Park Road, Toronto, ON, M4M 1B5"
648,BMW,3-Series,2022,"$56,829 ",White,XDrive Sedan (5R79),New,Sedan,All-wheel drive (AWD),Automatic,Other,na,na,"11 Sunlight Park Road, Toronto, ON, M4M 1B5"
649,BMW,3-Series,2022,"$63,264 ",Black,XDrive Sedan,New,Sedan,All-wheel drive (AWD),Automatic,Other,na,na,"11 Sunlight Park Road, Toronto, ON, M4M 1B5"
650,Other,Other,2021,"$26,735 ",Other,na,New,Other,Other,na,Other,na,na,"11 Sunlight Park Road, Toronto, ON, M4M 1B5"
651,BMW,3-Series,2022,"$76,179 ",Blue,XDrive Sedan,New,Sedan,All-wheel drive (AWD),Automatic,Other,na,na,"11 Sunlight Park Road, Toronto, ON, M4M 1B5"
652,BMW,5-Series,2022,"$75,163 ",Grey,XDrive Sedan,New,Sedan,All-wheel drive (AWD),Automatic,Other,na,na,"11 Sunlight Park Road, Toronto, ON, M4M 1B5"
653,BMW,3-Series,2022,"$59,969 ",White,XDrive Sedan,New,Sedan,All-wheel drive (AWD),Automatic,Other,na,na,"11 Sunlight Park Road, Toronto, ON, M4M 1B5"
654,BMW,X3,2022,"$64,154 ",White,XDrive30i,New,"SUV, Crossover",All-wheel drive (AWD),Automatic,Other,na,na,"11 Sunlight Park Road, Toronto, ON, M4M 1B5"
655,BMW,3-Series,2022,"$74,779 ",White,XDrive Sedan,New,Sedan,All-wheel drive (AWD),Automatic,Other,na,na,"11 Sunlight Park Road, Toronto, ON, M4M 1B5"
656,BMW,X3,2022,"$65,449 ",Blue,XDrive30i,New,"SUV, Crossover",All-wheel drive (AWD),Automatic,Other,na,na,"11 Sunlight Park Road, Toronto, ON, M4M 1B5"
657,BMW,5-Series,2022,"$78,664 ",Black,XDrive Sedan,New,Sedan,All-wheel drive (AWD),Automatic,Other,na,na,"11 Sunlight Park Road, Toronto, ON, M4M 1B5"
658,BMW,X5,2022,"$93,894 ",White,XDrive40i,New,"SUV, Crossover",All-wheel drive (AWD),Automatic,Other,na,na,"11 Sunlight Park Road, Toronto, ON, M4M 1B5"
659,BMW,3-Series,2022,"$62,619 ",Black,XDrive Sedan,New,Sedan,All-wheel drive (AWD),Automatic,Other,na,na,"11 Sunlight Park Road, Toronto, ON, M4M 1B5"
660,BMW,X3,2022,"$64,554 ",White,XDrive30i,New,"SUV, Crossover",All-wheel drive (AWD),Automatic,Other,na,na,"11 Sunlight Park Road, Toronto, ON, M4M 1B5"
